policy_id,policy_number,customer_id,product_code,line_of_business,policy_start_date,policy_end_date,policy_status,gross_written_premium,net_written_premium,sum_insured,branch_code
POL00190,PN-2023-00190,CUST0118,MOTOR-COMP,Motor,2023-10-28,2024-10-27,Expired,37271.04,35972.25,498132.26,BR-CHN
POL00191,PN-2024-00191,CUST0132,MARINE-CARGO,Marine,2024-07-10,2025-07-10,Active,36225.53,33838.16,466001.06,BR-HYD
POL00192,PN-2023-00192,CUST0085,PROP-FIRE,Property,2023-05-08,2024-05-07,Expired,76803.68,69277.14,1188577.1,BR-MUM
POL00193,PN-2024-00193,CUST0087,HEALTH-IND,Health,2024-05-23,2025-05-23,Active,42551.02,40578.69,533345.2,BR-HYD
POL00194,PN-2024-00194,CUST0109,MOTOR-TP,Motor,2024-03-16,2025-03-16,Active,38426.63,35387.53,517245.28,BR-HYD
POL00195,PN-2023-00195,CUST0084,PROP-FIRE,Property,2023-11-10,2024-11-09,Expired,113296.18,98756.18,1761352.55,BR-MUM
POL00196,PN-2024-00196,CUST0011,PROP-BURG,Property,2024-03-21,2025-03-21,Active,147403.55,143457.2,1367271.08,BR-PUN
POL00197,PN-2024-00197,CUST0104,PROP-BURG,Property,2024-06-09,2025-06-09,Active,108323.38,105492.09,1129515.07,BR-DEL
POL00198,PN-2023-00198,CUST0113,MOTOR-COMP,Motor,2023-05-10,2024-05-09,Cancelled,36805.07,33037.07,533987.27,BR-DEL
POL00199,PN-2024-00199,CUST0009,HEALTH-IND,Health,2024-04-05,2025-04-05,Active,42901.0,40721.67,761778.91,BR-DEL
POL00200,PN-2023-00200,CUST0094,MARINE-CARGO,Marine,2023-11-18,2024-11-17,Expired,72433.98,62637.16,1485365.43,BR-MUM
POL00201,PN-2024-00201,CUST0133,MARINE-CARGO,Marine,2024-07-29,2025-07-29,Active,161743.96,152285.97,1883944.68,BR-DEL
POL00202,PN-2023-00202,CUST0074,LIAB-GEN,Liability,2023-07-24,2024-07-23,Expired,174980.47,159016.22,4073115.51,BR-MUM
POL00203,PN-2023-00203,CUST0023,PROP-BURG,Property,2023-12-22,2024-12-21,Active,91499.63,81228.53,1198577.77,BR-BLR
POL00204,PN-2024-00204,CUST0045,PROP-BURG,Property,2024-06-04,2025-06-04,Active,148067.23,141103.41,1780436.65,BR-MUM
POL00205,PN-2024-00205,CUST0007,PROP-BURG,Property,2024-07-21,2025-07-21,Active,80762.76,78969.14,824273.69,BR-HYD
POL00206,PN-2024-00206,CUST0017,PROP-FIRE,Property,2024-02-12,2025-02-11,Active,113453.06,104188.53,2391113.7,BR-DEL
POL00207,PN-2023-00207,CUST0019,HEALTH-IND,Health,2023-11-21,2024-11-20,Expired,48748.09,45745.9,675490.16,BR-DEL
POL00208,PN-2023-00208,CUST0151,HEALTH-IND,Health,2023-05-13,2024-05-12,Expired,83303.42,71408.0,842259.14,BR-BLR
POL00209,PN-2023-00209,CUST0078,HEALTH-IND,Health,2023-06-15,2024-06-14,Expired,68199.91,61037.76,1636482.0,BR-CHN
POL00210,PN-2023-00210,CUST0021,PROP-FIRE,Property,2023-07-21,2024-07-20,Expired,91609.38,79358.65,1204481.81,BR-DEL
POL00211,PN-2024-00211,CUST0024,HEALTH-IND,Health,2024-08-29,2025-08-29,Active,26564.57,24854.75,537952.65,BR-DEL
POL00212,PN-2023-00212,CUST0087,MOTOR-COMP,Motor,2023-01-30,2024-01-30,Expired,43096.23,40951.46,538666.26,BR-BLR
POL00213,PN-2023-00213,CUST0147,MARINE-CARGO,Marine,2023-02-01,2024-02-01,Expired,136617.88,121269.86,3314766.85,BR-MUM
POL00214,PN-2023-00214,CUST0063,MARINE-CARGO,Marine,2023-11-01,2024-10-31,Expired,147064.31,128026.9,2215607.61,BR-MUM
POL00215,PN-2023-00215,CUST0053,PROP-BURG,Property,2023-05-28,2024-05-27,Expired,113387.18,107201.45,2566316.45,BR-MUM
POL00216,PN-2024-00216,CUST0034,PROP-BURG,Property,2024-06-11,2025-06-11,Active,61485.07,55990.85,771454.31,BR-BLR
POL00217,PN-2023-00217,CUST0037,MOTOR-TP,Motor,2023-02-21,2024-02-21,Expired,22213.54,20658.57,271462.67,BR-BLR
POL00218,PN-2023-00218,CUST0084,PROP-BURG,Property,2023-07-14,2024-07-13,Expired,84774.52,77730.96,1396992.11,BR-CHN
POL00219,PN-2023-00219,CUST0128,MOTOR-COMP,Motor,2023-04-03,2024-04-02,Expired,26701.45,26051.78,311270.96,BR-CHN
POL00220,PN-2023-00220,CUST0013,MOTOR-COMP,Motor,2023-10-16,2024-10-15,Expired,40646.56,38006.72,650344.01,BR-DEL
