expense_id,policy_id,expense_type,expense_amount,expense_date
EXP00467,POL00186,IT Allocation,1866.16,2023-05-17
EXP00468,POL00186,IT Allocation,2448.33,2024-01-17
EXP00469,POL00187,Broker Fee,17823.93,2023-02-16
EXP00470,POL00187,Survey Fee,5991.87,2023-06-24
EXP00471,POL00188,Agent Commission,6498.85,2023-04-19
EXP00472,POL00188,Policy Admin,4116.73,2024-02-25
EXP00473,POL00189,Broker Fee,7055.01,2024-04-23
EXP00474,POL00189,Policy Admin,2362.65,2025-03-22
EXP00475,POL00190,Broker Fee,3531.8,2023-10-28
EXP00476,POL00190,Policy Admin,1871.73,2024-01-05
EXP00477,POL00190,Survey Fee,995.29,2024-05-29
EXP00478,POL00191,Agent Commission,3662.25,2024-07-13
EXP00479,POL00191,IT Allocation,1412.2,2024-10-02
EXP00480,POL00191,Survey Fee,1985.56,2024-07-26
EXP00481,POL00192,Broker Fee,11129.28,2023-05-11
EXP00482,POL00192,Policy Admin,4490.75,2023-06-08
EXP00483,POL00192,Survey Fee,4355.42,2024-04-08
EXP00484,POL00193,Broker Fee,6252.14,2024-05-27
EXP00485,POL00193,Policy Admin,1421.15,2024-10-16
EXP00486,POL00193,Survey Fee,1285.63,2025-03-28
EXP00487,POL00194,Agent Commission,4314.45,2024-03-21
EXP00488,POL00194,Survey Fee,1567.73,2024-06-26
EXP00489,POL00195,Agent Commission,13406.66,2023-11-10
EXP00490,POL00195,Policy Admin,4129.64,2024-08-14
EXP00491,POL00196,Broker Fee,18865.44,2024-03-22
EXP00492,POL00196,Policy Admin,4433.29,2024-04-17
EXP00493,POL00196,IT Allocation,6600.12,2024-04-29
EXP00494,POL00197,Agent Commission,13644.67,2024-06-13
EXP00495,POL00197,Policy Admin,5234.51,2024-08-19
EXP00496,POL00198,Agent Commission,5150.9,2023-05-13
EXP00497,POL00198,Survey Fee,2055.2,2023-08-22
EXP00498,POL00199,Agent Commission,4316.69,2024-04-10
EXP00499,POL00199,Survey Fee,2441.4,2024-09-03
EXP00500,POL00199,Survey Fee,2045.9,2024-09-27
EXP00501,POL00200,Agent Commission,6615.95,2023-11-20
EXP00502,POL00200,Policy Admin,2557.79,2024-05-16
EXP00503,POL00201,Broker Fee,15863.31,2024-07-30
EXP00504,POL00201,IT Allocation,3683.87,2024-11-18
EXP00505,POL00201,Survey Fee,5775.13,2025-07-04
EXP00506,POL00202,Broker Fee,15326.56,2023-07-25
EXP00507,POL00202,Policy Admin,9887.16,2023-12-13
EXP00508,POL00203,Agent Commission,7543.25,2023-12-26
EXP00509,POL00203,Survey Fee,4674.67,2024-01-10
EXP00510,POL00203,Policy Admin,2374.8,2024-11-23
EXP00511,POL00204,Broker Fee,21514.55,2024-06-06
EXP00512,POL00204,IT Allocation,7107.55,2024-12-31
EXP00513,POL00205,Broker Fee,6481.96,2024-07-24
EXP00514,POL00205,IT Allocation,2920.1,2024-09-04
EXP00515,POL00205,IT Allocation,2344.86,2025-02-12
EXP00516,POL00206,Broker Fee,15572.38,2024-02-12
EXP00517,POL00206,Survey Fee,3782.25,2024-07-26
EXP00518,POL00206,Survey Fee,2519.54,2024-04-08
EXP00519,POL00207,Broker Fee,5724.19,2023-11-21
EXP00520,POL00207,IT Allocation,2457.79,2024-04-27
EXP00521,POL00207,Policy Admin,1371.03,2024-09-09
EXP00522,POL00208,Agent Commission,12306.07,2023-05-15
EXP00523,POL00208,IT Allocation,4653.2,2024-04-09
EXP00524,POL00208,IT Allocation,2863.18,2023-07-05
EXP00525,POL00209,Agent Commission,7546.92,2023-06-16
EXP00526,POL00209,Policy Admin,1890.75,2024-04-23
EXP00527,POL00210,Agent Commission,10466.03,2023-07-25
EXP00528,POL00210,Policy Admin,3663.22,2024-03-17
EXP00529,POL00210,Survey Fee,1967.93,2023-08-28
EXP00530,POL00211,Agent Commission,3590.06,2024-09-01
EXP00531,POL00211,Survey Fee,756.22,2025-06-02
EXP00532,POL00212,Agent Commission,6283.7,2023-02-04
EXP00533,POL00212,IT Allocation,2456.17,2023-02-27
EXP00534,POL00213,Agent Commission,12283.5,2023-02-04
EXP00535,POL00213,Policy Admin,4058.55,2023-04-18
EXP00536,POL00214,Agent Commission,13538.36,2023-11-03
EXP00537,POL00214,IT Allocation,5624.83,2024-02-06
EXP00538,POL00215,Agent Commission,9578.61,2023-05-28
EXP00539,POL00215,Policy Admin,4966.26,2024-04-17
EXP00540,POL00215,Survey Fee,2553.98,2023-09-18
EXP00541,POL00216,Broker Fee,6370.72,2024-06-13
EXP00542,POL00216,IT Allocation,3629.72,2025-04-11
EXP00543,POL00217,Agent Commission,1990.62,2023-02-21
EXP00544,POL00217,Survey Fee,742.38,2023-05-03
EXP00545,POL00218,Broker Fee,7620.09,2023-07-15
EXP00546,POL00218,Policy Admin,3572.09,2024-03-04
EXP00547,POL00218,Policy Admin,4834.44,2023-08-13
EXP00548,POL00219,Broker Fee,2322.97,2023-04-04
EXP00549,POL00219,Policy Admin,1473.52,2023-05-24
EXP00550,POL00220,Agent Commission,3272.28,2023-10-21
EXP00551,POL00220,IT Allocation,1489.65,2024-06-25
EXP00552,POL00220,IT Allocation,1019.24,2024-01-07
